,quality
0,6
1,6
2,6
3,6
4,6
5,6
6,6
7,6
8,6
9,6
10,5
11,5
12,5
13,7
14,5
15,7
16,6
17,6
18,5
19,8
20,7
21,8
22,5
23,6
24,6
25,6
26,6
27,6
28,7
29,6
30,6
31,6
32,5
33,5
34,5
35,6
36,5
37,5
38,6
39,6
40,6
41,6
42,6
43,7
44,4
45,5
46,6
47,5
48,6
49,7
50,7
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,5
60,6
61,6
62,5
63,7
64,5
65,8
66,5
67,6
68,5
69,5
70,6
71,8
72,5
73,7
74,7
75,5
76,5
77,6
78,6
79,5
80,6
81,5
82,6
83,6
84,5
85,6
86,6
87,5
88,7
89,7
90,7
91,6
92,6
93,7
94,6
95,5
96,5
97,5
98,5
99,5
100,6
101,5
102,6
103,6
104,5
105,6
106,5
107,5
108,5
109,5
110,4
111,6
112,6
113,5
114,5
115,5
116,5
117,5
118,6
119,6
120,6
121,5
122,7
123,7
124,6
125,5
126,7
127,5
128,5
129,5
130,5
131,6
132,5
133,7
134,5
135,5
136,6
137,6
138,6
139,6
140,6
141,4
142,7
143,6
144,7
145,6
146,6
147,5
148,6
149,6
150,6
151,7
152,8
153,8
154,7
155,5
156,5
157,6
158,5
159,5
160,6
161,7
162,5
163,5
164,6
165,6
166,4
167,7
168,6
169,4
170,5
171,4
172,6
173,6
174,5
175,5
176,6
177,5
178,5
179,6
180,5
181,8
182,4
183,6
184,5
185,6
186,5
187,5
188,6
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,6
197,4
198,5
199,5
200,4
201,5
202,6
203,5
204,7
205,5
206,6
207,7
208,5
209,5
210,5
211,5
212,5
213,5
214,6
215,7
216,6
217,5
218,6
219,6
220,6
221,5
222,4
223,6
224,6
225,6
226,6
227,6
228,6
229,6
230,7
231,6
232,5
233,5
234,7
235,6
236,5
237,6
238,7
239,7
240,7
241,4
242,3
243,5
244,3
245,6
246,8
247,7
248,7
249,6
250,4
251,6
252,5
253,5
254,6
255,6
256,5
257,6
258,6
259,6
260,5
261,5
262,5
263,5
264,6
265,6
266,5
267,4
268,7
269,8
270,8
271,4
272,5
273,5
274,5
275,6
276,7
277,7
278,7
279,7
280,6
281,5
282,7
283,3
284,6
285,5
286,7
287,6
288,6
289,6
290,6
291,6
292,6
293,6
294,6
295,5
296,6
297,7
298,6
299,7
300,8
301,6
302,6
303,5
304,6
305,6
306,5
307,7
308,6
309,7
310,5
311,6
312,6
313,5
314,5
315,6
316,6
317,6
318,5
319,8
320,5
321,6
322,5
323,5
324,6
325,6
326,6
327,5
328,7
329,7
330,6
331,6
332,5
333,6
334,6
335,7
336,6
337,6
338,5
339,7
340,7
341,6
342,7
343,6
344,6
345,6
346,6
347,6
348,6
349,6
350,5
351,6
352,6
353,7
354,7
355,6
356,6
357,5
358,6
359,6
360,5
361,6
362,7
363,7
364,7
365,7
366,6
367,7
368,7
369,6
370,6
371,6
372,7
373,7
374,7
375,5
376,6
377,7
378,7
379,5
380,6
381,6
382,5
383,5
384,5
385,6
386,5
387,6
388,6
389,5
390,5
391,5
392,6
393,5
394,7
395,5
396,6
397,5
398,6
399,6
400,5
401,5
402,6
403,6
404,6
405,5
406,6
407,6
408,7
409,6
410,6
411,6
412,7
413,6
414,6
415,5
416,5
417,5
418,5
419,5
420,7
421,4
422,8
423,7
424,5
425,8
426,5
427,6
428,8
429,6
430,6
431,3
432,5
433,6
434,6
435,7
436,5
437,5
438,7
439,7
440,7
441,6
442,7
443,5
444,6
445,5
446,5
447,5
448,5
449,6
450,5
451,5
452,6
453,6
454,5
455,5
456,6
457,5
458,6
459,7
460,6
461,5
462,7
463,6
464,6
465,6
466,5
467,6
468,5
469,5
470,5
471,6
472,6
473,6
474,6
475,6
476,6
477,7
478,6
479,6
480,6
481,6
482,4
483,6
484,5
485,4
486,6
487,6
488,6
489,5
490,6
491,6
492,5
493,7
494,6
495,7
496,6
497,6
498,6
499,6
500,7
501,6
502,5
503,6
504,5
505,5
506,6
507,6
508,5
509,6
510,4
511,6
512,6
513,6
514,6
515,5
516,6
517,6
518,6
519,5
520,5
521,6
522,5
523,6
524,4
525,5
526,6
527,6
528,6
529,6
530,6
531,6
532,7
533,5
534,7
535,7
536,7
537,7
538,7
539,7
540,5
541,6
542,5
543,6
544,7
545,5
546,6
547,7
548,5
549,6
550,6
551,5
552,6
553,6
554,5
555,7
556,5
557,7
558,7
559,6
560,6
561,7
562,7
563,7
564,5
565,5
566,6
567,6
568,7
569,6
570,6
571,7
572,6
573,5
574,6
575,5
576,5
577,5
578,7
579,5
580,6
581,8
582,7
583,6
584,6
585,5
586,5
587,6
588,6
589,5
590,5
591,5
592,6
593,8
594,6
595,5
596,5
597,5
598,5
599,7
600,6
601,6
602,6
603,5
604,6
605,5
606,5
607,8
608,4
609,6
610,6
611,6
612,5
613,5
614,6
615,5
616,6
617,6
618,7
619,5
620,5
621,5
622,7
623,4
624,6
625,5
626,5
627,5
628,4
629,6
630,5
631,7
632,7
633,7
634,7
635,6
636,7
637,6
638,6
639,5
640,5
641,4
642,5
643,7
644,4
645,5
646,6
647,5
648,6
649,6
650,6
651,5
652,6
653,6
654,8
655,6
656,5
657,6
658,6
659,7
660,7
661,7
662,5
663,5
664,6
665,5
666,5
667,5
668,7
669,4
670,6
671,7
672,4
673,6
674,5
675,5
676,6
677,5
678,6
679,5
680,5
681,5
